_id,_status,_submission_time,_submitted_by,act_auto,act_comunal,act_movil,act_pc,act_refri,act_tv,ahorro1,altitude,anio,aprobado,canton,cocina,credit,derecho_tenencia,dest_bas,ed_sup,edad,edbb15_17,edbb25_inc,electricidad,end,est_civil,est_pds,est_piso,est_techo,etnia,fecha,fuente_agua,galim,geduc,ginternet,gsalud,gservbas,gstreaming,gtelefoniam,gtransp,gviv,inodoro,jefe_h,latitude,longitude,mat_pds,mat_piso,mat_techo,mod_ed_sup,niv_educ,no_asist,num25_inc,num_dorm,num_ed_sup,num_per,otros_g,p24,p27,p30,p32,p33,p34,p36,p38,p39,p44,p_20,parent,parroquia,precision,razon,razon_ed_sup,rec_bas,serv_movil,serv_stream,sexo,start,t_infantil,t_infantil_h,t_infantil_re,tenencia,tipo_estbb,tipo_estsup,tipo_viv,valor_credit,valor_elecvh,viv_internet,zona
338152824,submitted_via_web,2024-05-12 01:21:00,davidpc_27,0,no participa,si,no,si,si,0,1599.900024414062,2024,6,Loja,GLP,no,si,,si,74,No hay miembros del hogar en ese rango de edad,no,Red de empresa eléctrica de servicio público,2024-05-11 11:58:34.861,casado(a),bueno,bueno,bueno,mestizo,2024-05-11,De la red pública,400.0,0.0,25.0,50.0,45.0,10.0,,50.0,,Conectado a red pública de alcantarillado,1,-4.3189231,-79.2362021,ladrillo,cemento,losa,presencial,primaria,,,3,2.0,5,50.0,21.0,No desea trabajar más horas,,,,,,,,no,no,,Quinara,3.9,,no,si,no,no,masculino,2024-05-11 11:39:54.897,no,,,propia,,pública,Casa/Villa,,,si,No
338142919,submitted_via_web,2024-05-11 22:25:31,yajaira_riera_,0,no participa,no,si,no,no,0,2728.0,2024,1,Loja,Gas natural,no,no,la recicla,no,43,"si, no todos asisten",si,Red de empresa eléctrica de servicio público,2024-05-11 16:44:48.009,divorciado(a),regular,regular,regular,mestizo,2024-05-11,De la red pública,40.0,0.0,,0.0,5.0,,,0.0,,Conectado a red pública de alcantarillado,0,-3.8425606,-79.3446501,tapia,cemento,teja,,superior universitaria,2.0,2.0,1,,6,0.0,,,,Acudir a sitios de contratación temporal,20.0,,,,,,no,Conyuge,Chuquiribamba,5.0,Falta de recursos económicos,si,no,no,no,femenino,2024-05-11 16:31:01.336,no,,,propia,,,Casa/Villa,,,no,No
339054757,submitted_via_web,2024-05-14 20:35:43,gabriela_palacios14,1,no participa,si,si,si,si,600,1566.300048828125,2024,8,Loja,GLP,no,si,,no,47,No hay miembros del hogar en ese rango de edad,no,Red de empresa eléctrica de servicio público,2024-05-11 15:23:51.472,divorciado(a),bueno,bueno,bueno,mestizo,2024-05-11,De la red pública,100.0,120.0,25.0,120.0,34.0,25.0,11.0,30.0,,Conectado a red pública de alcantarillado,1,-4.2054803,-79.2253142,ladrillo,cerámica,teja,,superior universitaria,,,3,,3,150.0,8.0,No desea trabajar más horas,,,,,,,,no,no,,Malacatos (Valladolid) ,4.906,,no,si,si,si,femenino,2024-05-11 15:09:00.906,no,,,propia,,,Departamento en casa o edificio,,,si,No
338126754,submitted_via_web,2024-05-11 19:50:59,abel_espinoza2005,1,no participa,si,si,si,si,20,1919.796562390014,2024,3,Loja,Gas natural,si,si,,no,38,"no, todos asisten",no,Red de empresa eléctrica de servicio público,2024-05-11 09:45:21.764,casado(a),bueno,bueno,bueno,mestizo,2024-05-11,De la red pública,300.0,50.0,20.0,50.0,50.0,0.0,,100.0,,Conectado a red pública de alcantarillado,0,-3.8597182,-79.1701421,otros,cemento,plancha zinc,,bachillerato,,,4,,5,0.0,,,,No realizó ninguna gestión para buscar trabajo,,Tiene un trabajo esporádico u ocasional,,Otro,2.0,no,no,Conyuge,Jimbilla,4.963,,no,si,no,no,femenino,2024-05-11 09:28:33.938,no,,,propia,fiscal,,Casa/Villa,500.0,,si,No
349611630,submitted_via_web,2024-06-15 14:34:50,adriana_velesaca,1,no participa,si,si,si,si,100,1530.5,2024,3,Loja,GLP,si,si,,no,33,No hay miembros del hogar en ese rango de edad,no,Red de empresa eléctrica de servicio público,2024-06-14 18:43:05.068,soltero(a),bueno,bueno,bueno,mestizo,2024-06-14,De la red pública,30.0,0.0,0.0,0.0,14.0,,14.0,60.0,,Conectado a red pública de alcantarillado,1,-4.2552128,-79.2224187,ladrillo,cerámica,losa,,bachillerato,,,3,,2,180.0,8.0,No desea trabajar más horas,,,,,,,,si,si,,Vilcabamba (Victoria),4.809,,no,si,si,no,masculino,2024-06-14 18:36:28.037,no,,,propia,,,Casa/Villa,180.0,,si,No
338331197,submitted_via_web,2024-05-12 21:48:52,veronica_villafuerte,0,no participa,no,no,si,si,0,2543.5,2024,5,Loja,Gas natural,si,si,la quema,no,42,No hay miembros del hogar en ese rango de edad,no,Red de empresa eléctrica de servicio público,2024-05-12 08:51:32.625,viudo(a),bueno,bueno,regular,mestizo,2024-05-12,De la red pública,50.0,0.0,23.0,25.0,15.0,0.0,0.0,0.0,,Conectado a red pública de alcantarillado,1,-3.7714083,-79.3756833,ladrillo,cemento,plancha zinc,,primaria,,,4,,5,0.0,9.0,No desea trabajar más horas,,,,,,,,no,no,,Gualel,4.5,,si,no,si,si,femenino,2024-05-12 08:29:08.780,no,,,propia,,,Mediagua,280.0,10.0,si,No
348575281,submitted_via_web,2024-06-12 16:09:38,abel_espinoza2005,0,arreglo casa comunal o iglesia,si,si,si,no,200,1902.662270999798,2024,4,Loja,Gas natural,no,no,,no,41,"no, todos asisten",no,Red de empresa eléctrica de servicio público,2024-05-11 11:38:11.162,casado(a),regular,regular,regular,mestizo,2024-05-11,Agua embotellada,200.0,0.0,,0.0,30.0,,,30.0,,Conectado a red pública de alcantarillado,1,-3.8606914,-79.1726269,tapia,tablones de madera,teja,,superior universitaria,,,2,,2,0.0,5.0,Trabajar más horas en otro trabajo,No ha realizado ninguna gestión,,,,,,,no,no,,Jimbilla,4.316,,no,si,no,no,femenino,2024-05-11 11:23:11.416,no,,,propia,fiscal,,Casa/Villa,,,no,No
338118205,submitted_via_web,2024-05-11 18:50:56,mariaaguilar_24,0,no participa,si,no,si,no,0,2419.7998046875,2024,10,Loja,Gas natural,no,,,no,47,No hay miembros del hogar en ese rango de edad,no,Red de empresa eléctrica de servicio público,2024-05-11 13:23:48.693,casado(a),bueno,regular,regular,mestizo,2024-05-11,De la red pública,180.0,0.0,30.0,25.0,12.0,0.0,,20.0,,Conectado a red pública de alcantarillado,0,-3.7949325,-79.2804968,adobe,cemento,teja,,básica,,,2,,3,0.0,8.0,No desea trabajar más horas,,,,,,,,no,si,Conyuge,Santiago,4.446,,no,si,no,no,femenino,2024-05-11 13:07:20.081,no,,,otro,,,Casa/Villa,,,si,No
338143092,submitted_via_web,2024-05-11 22:28:15,lester_moreno,0,arreglo casa comunal o iglesia,si,no,si,no,0,1359.5,2024,3,Loja,Gas natural,si,si,,si,20,"no, todos asisten",no,Red de empresa eléctrica de servicio público,2024-05-11 15:04:30.577,soltero(a),regular,regular,malo,mestizo,2024-05-11,De la red pública,200.0,200.0,20.0,100.0,30.0,,,10.0,,Conectado a red pública de alcantarillado,0,-3.84096,-79.3459525,adobe,cemento,teja,presencial,bachillerato,,,3,1.0,4,0.0,8.0,No desea trabajar más horas,,,,,,,,no,no,Otros parientes,Chuquiribamba,4.617,,no,si,no,no,masculino,2024-05-11 14:49:07.815,si,8.0,6.0,propia,fiscomisional,pública,Casa/Villa,100.0,,si,No
349825065,submitted_via_web,2024-06-16 22:08:04,erika_cabrera,1,deportes y entretenimiento,si,si,si,si,0,2245.199951171875,2024,3,Loja,Electricidad,no,si,,si,37,"no, todos asisten",no,Red de empresa eléctrica de servicio público,2024-06-16 17:07:52.490,casado(a),bueno,bueno,bueno,mestizo,2024-06-16,De la red pública,100.0,25.0,20.0,0.0,35.0,,,20.0,,Conectado a red pública de alcantarillado,0,-3.8893308,-79.2891288,ladrillo,cemento,teja,presencial,bachillerato,,,4,2.0,5,15.0,,,,Búscar por Internet,4.0,,,,,,no,Conyuge,Taquil (Miguel Riofrio),4.2,,no,si,no,no,femenino,2024-06-16 16:50:54.675,no,,,propia,fiscal,pública,Casa/Villa,,,si,No
