canton,tenencia,fuente_agua,inodoro
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Agua embotellada,Red pública de alcantarillado
Loja,otro,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,otro,Red pública,Red pública de alcantarillado
Loja,arrendada,Río / acequia / canal,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,arrendada,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Río / acequia / canal,Pozo séptico
Loja,propia,Red pública,Pozo séptico
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,propia,Red pública,Red pública de alcantarillado
Loja,otro,Red pública,Red pública de alcantarillado
